,Description,total_sales,total_revenue
1053,CHRISTMAS TREE STAR DECORATION,2489,1045.3799999999999
1054,CHRISTMAS TREE T-LIGHT HOLDER,405,587.25
1055,CHRYSANTHEMUM  JOURNAL,551,1051.96
1056,CHRYSANTHEMUM NOTEBOOK,3525,1016.25
1057,CHRYSANTHEMUM POCKET BOOK ,5734,863.5
1058,CHRYSANTHEMUM SKETCHBOOK ,405,1104.79
1059,CHUNKY CRACKED GLAZE NECKLACE IVORY,6,64.5
1060,CHUNKY SILVER NECKLACE PASTEL FLOWE,73,726.3499999999999
1061,CINAMMON & ORANGE WREATH,986,3018.7
1062,CINAMMON SET OF 9 T-LIGHTS,1868,1581.56
1063,CINDERELLA CHANDELIER ,220,3617.6000000000004
1064,CINNAMON SCENTED VOTIVE CANDLE,2095,553.79
1065,CIRCLE OF FRIENDS CANDLE HOLDER,294,341.7
1066,CIRCUS PARADE BABY GIFT SET,285,4444.75
1067,CIRCUS PARADE CHILDRENS EGG CUP ,1083,1358.59
1068,CIRCUS PARADE LUNCH BOX ,5871,10791.83
1069,CIRCUS PARADE LUNCHBOX ,1,1.95
1070,CITRONELLA CANDLE FLOWERPOT,2565,4472.25
1071,CITRONELLA CANDLE GARDEN POT,3357,3707.37
1072,CITRUS GARLAND FELT FLOWERS ,180,351.0
1073,CLAM SHELL LARGE,746,572.7
1074,CLAM SHELL SMALL ,320,613.69
1075,CLASSIC BICYCLE CLIPS ,1587,2200.15
1076,CLASSIC CAFE SUGAR DISPENSER,2633,3037.1
1077,CLASSIC CHROME BICYCLE BELL ,2451,3431.35
1078,CLASSIC CROME BICYCLE BELL ,60,77.4
1079,CLASSIC DIAMANTE EARRINGS JET,7,20.650000000000002
1080,CLASSIC DIAMANTE NECKLACE JET,5,37.5
1081,CLASSIC FRENCH STYLE BASKET BROWN,344,1564.44
1082,CLASSIC FRENCH STYLE BASKET GREEN ,478,2368.1
1083,CLASSIC FRENCH STYLE BASKET NATURAL,677,3226.87
1084,CLASSIC GLASS COOKIE JAR,1332,5350.200000000001
1085,CLASSIC GLASS SWEET JAR,119,479.45000000000005
1086,CLASSIC METAL BIRDCAGE PLANT HOLDER,1702,17888.71
1087,CLASSIC SUGAR DISPENSER,216,247.32
1088,CLASSIC WHITE FRAME,1007,2946.65
1089,CLASSICAL ROSE CANDLESTAND,509,449.05
1090,CLASSICAL ROSE DISH,283,528.85
1091,CLASSICAL ROSE SMALL VASE,541,989.55
1092,CLASSICAL ROSE TABLE LAMP,14,103.3
1093,CLASSICAL ROSE URN,94,372.3
1094,CLEAR ACRYLIC FACETED BANGLE,95,211.25
1095,CLEAR COLOUR GLASS GEMS IN BAG,518,344.53999999999996
1096,CLEAR CRYSTAL STAR PHONE CHARM,200,150.44
1097,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6547,7917.11
1098,CLEAR LOVE BIRD T-LIGHT HOLDER,84,249.11
1099,CLEAR MILKSHAKE GLASS,445,869.7
1100,CLEAR STATIONERY BOX SET ,82,69.69999999999999
1101,CLOCK MAGNET MUM'S KITCHEN,304,837.88
1102,CLOTHES PEGS RETROSPOT PACK 24 ,13410,18411.739999999998
1103,COCKLE SHELL DISH,424,702.8800000000001
1104,COCKTAIL SWORDS 50 PIECES,899,705.25
1105,COFFEE MUG APPLES DESIGN,5310,12179.95
1106,COFFEE MUG BLUE PAISLEY DESIGN,2330,4455.11
1107,COFFEE MUG CAT + BIRD DESIGN,4733,10831.289999999999
1108,COFFEE MUG DOG + BALL DESIGN,3923,9021.39
1109,COFFEE MUG PEARS  DESIGN,4808,10043.41
1110,COFFEE MUG PINK PAISLEY DESIGN,2230,4559.8
1111,COFFEE SCENT PILLAR CANDLE,531,504.44999999999993
1112,COGNAC AUX OEUFS METAL 1 HOOK,31,38.75
1113,COLOUR GLASS T-LIGHT HOLDER HANGING,39259,23598.510000000002
1114,COLOUR GLASS. STAR T-LIGHT HOLDER,13874,39822.34
1115,COLOURED GLASS STAR T-LIGHT HOLDER,996,3474.88
1116,COLOURFUL FISHING GNOME,284,838.6
1117,COLOURFUL FLOWER FRUIT BOWL,20,78.05
1118,COLOURFUL STANDING GNOME,706,1115.7
1119,COLOURING PENCILS BROWN TUBE,7806,6661.2300000000005
1120,COLUMBIAN  CUBE CANDLE ,320,109.16
1121,COLUMBIAN CANDLE RECTANGLE,845,791.25
1122,COLUMBIAN CANDLE ROUND,1427,689.03
1123,COLUMBIAN CANDLE ROUND ,431,477.09000000000003
1124,COLUMBIAN CUBE CANDLE,548,460.2
1125,CONCH SHELL,1252,535.8
1126,CONDIMENT TRAY 4 BOWLS AND 4 SPOONS,44,420.28
1127,CONGRATULATIONS BUNTING,148,806.6
1128,COOK WITH WINE METAL SIGN ,19652,37029.340000000004
1129,COOKING SET RETROSPOT,696,6609.839999999999
1130,COPPER AND BRASS BAG CHARM,10,54.510000000000005
1131,COPPER/OLIVE GREEN FLOWER NECKLACE,25,148.75
1132,CORDIAL GLASS JUG,30,247.5
1133,CORDIAL JUG,6,49.5
1134,CORONA MEXICAN TRAY,1454,5143.7
1135,COSMETIC BAG VINTAGE ROSE PAISLEY,1303,2633.42
1136,COSY HOUR CIGAR BOX MATCHES ,3325,4124.33
1137,COSY HOUR GIANT TUBE MATCHES,2053,5127.15
1138,COSY SLIPPER SHOES LARGE GREEN,618,1803.9000000000003
1139,COSY SLIPPER SHOES LARGE RED,164,483.80000000000007
1140,COSY SLIPPER SHOES SMALL  RED ,386,1119.5
1141,COSY SLIPPER SHOES SMALL GREEN,364,1064.5900000000001
1142,COTE D'AZURE NECKLACE,33,163.35000000000002
1143,COTTON APRON PANTRY DESIGN,602,2670.54
1144,COUNTRY COTTAGE  DOORSTOP GREEN,259,1036.75
1145,COW  SOCK PUPPET,54,159.3
1146,COWBOYS AND INDIANS BIRTHDAY CARD ,8455,3396.07
1147,CRACKED GLAZE EARRINGS BROWN,1,2.55
1148,CRACKED GLAZE EARRINGS RED,2,5.1
1149,CRACKED GLAZE NECKLACE BROWN,3,20.85
1150,CRACKED GLAZE NECKLACE IVORY,6,41.7
1151,CRACKED GLAZE NECKLACE RED,7,48.65
1152,CRAZY DAISY HEART DECORATION,1279,914.12
1153,CREAM AND PINK FLOWERS PONY ,27,101.25
1154,CREAM BUNNY EASTER EGG BASKET,25,41.24999999999999
1155,CREAM C/COVER W YELLOW/GREEN FLOWER,10,69.5
1156,CREAM CLIMBING HYDRANGA ART FLOWER,145,205.35
1157,CREAM CUPID HEARTS COAT HANGER,6682,21256.0
1158,CREAM CUSHION COVER WITH FLOWERS,103,355.85
1159,CREAM DELPHINIUM ARTIFICIAL FLOWER,215,387.53000000000003
1160,CREAM FELT EASTER EGG BASKET,2148,3436.2
1161,CREAM HANGING HEART T-LIGHT HOLDER,57,155.35
1162,CREAM HEART CARD HOLDER,15946,47414.200000000004
1163,CREAM KNITTED HEN,288,365.76
1164,CREAM SLICE FLANNEL CHOCOLATE SPOT ,698,1982.3000000000002
1165,CREAM SLICE FLANNEL PINK SPOT ,2157,5873.55
1166,CREAM SWEETHEART DOUBLE SHELF,3,50.849999999999994
1167,CREAM SWEETHEART EGG HOLDER,1093,5177.95
1168,CREAM SWEETHEART LETTER RACK,1538,6897.62
1169,CREAM SWEETHEART MAGAZINE RACK,275,4455.25
1170,CREAM SWEETHEART MINI CHEST,2948,35264.729999999996
1171,CREAM SWEETHEART SHELF + HOOKS,922,6097.56
1172,CREAM SWEETHEART TRAYS,582,6734.5
1173,CREAM SWEETHEART WALL CABINET,472,7417.259999999999
1174,CREAM WALL PLANTER HEART SHAPED,562,3169.41
1175,CROCHET BEAR RED/BLUE  KEYRING,41,67.64999999999999
1176,CROCHET BEAR WITH BLUE STRIPES,98,249.89999999999998
1177,CROCHET DOG KEYRING,24,39.599999999999994
1178,CROCHET LILAC/RED BEAR KEYRING,12,19.799999999999997
1179,CROCHET POODLE KEYRING,21,34.64999999999999
1180,CROCHET ROSE DES CLOTHES HANGER,25,73.75
1181,CROCHET ROSE PURSE WITH SUEDE BACK,163,480.8500000000001
1182,CROCHET WHITE RABBIT KEYRING ,64,100.8
1183,CROSS STITCH ALPHABET CUSHION COVER,216,1285.2
1184,CRYSTAL CHANDELIER T-LIGHT HOLDER,3,18.75
1185,CRYSTAL CZECH CROSS PHONE CHARM,44,34.94
1186,CRYSTAL DIAMANTE EXPANDABLE RING,48,204.0
1187,CRYSTAL DIAMANTE STAR BROOCH,21,103.95
1188,CRYSTAL DRAGONFLY PHONE CHARM,3,2.55
1189,CRYSTAL FROG PHONE CHARM,189,138.32999999999998
1190,CRYSTAL HOOP EARRING FLORAL LEAF,36,106.20000000000002
1191,CRYSTAL KEY+LOCK PHONE CHARM,99,84.14999999999999
1192,CRYSTAL LARGE JEWELLED PHOTO FRAME,22,56.099999999999994
1193,CRYSTAL PAIR HEART HAIR SLIDES,35,131.25
1194,CRYSTAL SEA HORSE PHONE CHARM,276,191.76
1195,CRYSTAL SMALL JEWELLED PHOTOFRAME,1,1.65
1196,CRYSTAL STILETTO PHONE CHARM,297,252.45
1197,CRYSTAL STUD EARRINGS ASSORTED COL ,1081,508.7
1198,CRYSTAL STUD EARRINGS CLEAR DISPLAY,576,218.88
1199,CUBIC MUG BLUE POLKA DOT,1249,1093.95
1200,CUBIC MUG FLOCK BLUE ON BROWN,1240,1011.48
1201,CUBIC MUG FLOCK PINK ON BROWN,125,70.35
1202,CUBIC MUG PINK POLKA DOT,104,265.2
1203,CUBIC MUG PINK POLKADOT,532,356.52
1204,CUBIC MUG TEATIME CAKES,6,15.299999999999999
1205,CUPBOARD 3 DRAWER MA CAMPAGNE,177,2531.75
1206,CUPCAKE LACE PAPER SET 6,3631,6722.629999999999
1207,CUPID DESIGN SCENTED CANDLES,660,1015.0999999999999
1208,CUPID SCENTED CANDLE IN GLASS,61,100.64999999999999
1209,CURIO CABINET LINEN AND LACE ,36,290.1
1210,CURIOUS  IMAGES NOTEBOOK SET,421,634.25
1211,CURIOUS IMAGES GIFT WRAP SET,793,772.1
1212,CURIOUS IMAGES SCRAP BOOK SET,343,543.45
1213,CUSHION COVER PINK UNION FLAG,101,643.35
1214,CUSHION COVER PINK UNION JACK,163,903.89
1215,CUT GLASS HEXAGON T-LIGHT HOLDER,1022,1849.0
1216,CUT GLASS T-LIGHT HOLDER OCTAGON,1169,2118.21
1217,CUTE BIRD CEATURE SCREEN,28,18.48
1218,CUTE CATS TAPE,1183,450.75000000000006
1219,CUTE RABBIT CEATURE SCREEN ,15,10.89
1220,DADDY MOUSE RED GINGHAM BOW TIE,1,5.45
1221,DAIRY MAID  PUDDING BOWL,1296,1860.0
1222,DAIRY MAID  SMALL  MILK JUG,215,451.50000000000006
1223,DAIRY MAID BUTTER DISH,1193,1758.25
1224,DAIRY MAID CERAMIC BUTTER DISH,105,437.25
1225,DAIRY MAID CERAMIC TOASTRACK,56,165.20000000000002
1226,DAIRY MAID LARGE MILK JUG,851,4071.75
1227,DAIRY MAID STRIPE MUG,2419,3176.05
1228,DAIRY MAID SUGAR JAM BOWL,1372,1358.3999999999999
1229,DAIRY MAID TOASTRACK,860,989.72
1230,DAIRY MAID TRADITIONAL TEAPOT ,831,4937.650000000001
1231,DAISIES  HONEYCOMB GARLAND ,1478,2337.8999999999996
1232,DAISY ERASERS IN BAG,1014,219.34
1233,DAISY FOLKART HEART DECORATION,389,486.25
1234,DAISY GARDEN MARKER,1832,2453.7
1235,DAISY HAIR BAND,67,110.54999999999998
1236,DAISY HAIR COMB,14,35.699999999999996
1237,DAISY JOURNAL ,403,708.47
1238,DAISY NOTEBOOK ,3509,749.8499999999999
1239,DAISY RING,11,13.75
1240,DAISY SKETCHBOOK ,245,606.86
1241,DANISH ROSE BEDSIDE CABINET,31,1198.45
1242,DANISH ROSE DECORATIVE PLATE,1051,920.6400000000001
1243,DANISH ROSE DELUXE COASTER,1306,722.5
1244,DANISH ROSE FOLDING CHAIR,120,1210.0
1245,DANISH ROSE PHOTO FRAME,1691,2122.61
1246,DANISH ROSE ROUND SEWING BOX,907,1359.79
1247,DANISH ROSE TRINKET TRAYS,317,828.15
1248,DANISH ROSE UMBRELLA STAND,33,513.55
1249,DARK BIRD HOUSE TREE DECORATION,1431,511.38999999999993
1250,DARK CHOCOLATE SCENTCANDLE,291,219.75
1251,DARK PINK FLOCK GLASS CANDLEHOLDER,547,231.99
1252,DECORATION  BUTTERFLY  MAGIC GARDEN,1018,836.18
1253,DECORATION  PINK CHICK MAGIC GARDEN,773,648.73
1254,"DECORATION , HANGING METAL CHICKEN",601,586.25
1255,"DECORATION , HANGING METAL RABBIT",813,851.25
1256,"DECORATION , WOBBLY CHICKEN, METAL ",763,1061.55
1257,"DECORATION , WOBBLY RABBIT , METAL ",1066,1561.4999999999998
1258,"DECORATION HEN ON NEST, HANGING",1837,2718.45
1259,DECORATION SITTING BUNNY,1335,257.61
1260,DECORATION WHITE CHICK MAGIC GARDEN,1291,1080.71
1261,DECORATION WOBBLY CHICKEN,521,256.11
1262,DECORATION WOBBLY RABBIT METAL ,753,375.57
1263,"DECORATION, HANGING HEART+MIRROR ",2608,1688.0000000000002
1264,DECORATIVE CATS BATHROOM BOTTLE,1261,1159.01
1265,DECORATIVE FLORE BATHROOM BOTTLE,511,598.91
1266,DECORATIVE HANGING SHELVING UNIT,14,799.3000000000001
1267,DECORATIVE NET CANOPY CREAM,68,541.6
1268,DECORATIVE NET CANOPY LEOPARD,73,248.75
1269,DECORATIVE PLANT POT WITH FRIEZE,96,751.2
1270,DECORATIVE ROSE BATHROOM BOTTLE,1264,1118.96
1271,DECORATIVE VINTAGE COFFEE  BOX,44,208.20000000000002
1272,DECORATIVE WICKER HEART LARGE,1701,2794.6499999999996
1273,DECORATIVE WICKER HEART MEDIUM,1751,2181.19
1274,DECORATIVE WICKER HEART SMALL,1492,932.2800000000001
1275,"DECOUPAGE,GREETING CARD,",1332,554.4
1276,DECROTIVEVINTAGE COFFEE GRINDER BOX,10,49.5
1277,DEEP BLUE GLASS GEMS IN BAG,316,208.12
1278,DELUXE SEWING KIT ,2045,11611.27
1279,DENIM PATCH PENCIL CASE BUTTERFLY,247,483.33
1280,DENIM PATCH PURSE PINK BUTTERFLY,332,547.8
1281,DIAMANTE BOW BROOCH BLACK COLOUR,83,527.05
1282,DIAMANTE BOW BROOCH GREEN COLOUR,42,266.7
1283,DIAMANTE BOW BROOCH RED COLOUR,57,361.95
1284,DIAMANTE BOW BROOCH WHITE COLOUR,1,6.35
1285,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,15,24.749999999999996
1286,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,18,29.699999999999996
1287,DIAMANTE HAIR GRIP PACK/2 LT ROSE,21,34.65
1288,DIAMANTE HAIR GRIP PACK/2 MONTANA,24,39.599999999999994
1289,DIAMANTE HAIR GRIP PACK/2 PERIDOT,26,42.89999999999999
1290,DIAMANTE HAIR GRIP PACK/2 RUBY,21,34.65
1291,"DIAMANTE HEART SHAPED WALL MIRROR, ",783,5020.41
1292,DIAMANTE NECKLACE,8,60.0
1293,DIAMANTE NECKLACE BLACK ,3,22.5
1294,DIAMANTE NECKLACE GREEN,3,22.5
1295,DIAMANTE NECKLACE PURPLE,10,75.0
1296,DIAMANTE RING ASSORTED IN BOX.,1800,2660.88
1297,DIAMOND LAS VEGAS NECKLACE 45CM,9,53.550000000000004
1298,DINOSAUR BIRTHDAY CARD,1618,668.76
1299,DINOSAUR HEIGHT CHART STICKER SET,546,1453.5000000000002
1300,DINOSAUR KEYRINGS ASSORTED,14192,2940.0299999999997
1301,DINOSAUR LUNCH BOX WITH CUTLERY,2320,5493.929999999999
1302,DINOSAUR LUNCHBOX WITH CUTLERY,544,1327.8
1303,DINOSAUR PARTY BAG + STICKER SET,2196,3460.24
1304,DINOSAURS  WRITING SET ,1615,2635.99
1305,DINOSAURS WATER TRANSFER TATTOOS ,1782,1469.8999999999999
1306,DISCO BALL CHRISTMAS DECORATION,20550,2292.04
1307,DISCO BALL ROTATOR BATTERY OPERATED,534,2265.5
1308,DISTRESSED CANDLE STICK WHITE,13,77.35
1309,DO NOT TOUCH MY STUFF DOOR HANGER ,2734,1577.34
1310,DOCTOR'S BAG SOFT TOY,525,4681.63
1311,DOG AND BALL WALL ART,252,425.87999999999994
1312,"DOG BOWL , CHASING BALL DESIGN",695,2537.13
1313,DOG BOWL CHASING BALL DESIGN,1688,6515.62
1314,DOG BOWL VINTAGE CREAM,444,1878.42
1315,"DOG BOWL, ENAMEL , CREAM COLOUR",8,34.0
1316,"DOG FOOD CONTAINER , VINTAGE",10,85.0
1317,DOG LICENCE WALL ART,408,2081.64
1318,DOG TOY WITH PINK CROCHET SKIRT,441,1650.19
1319,DOGGY RUBBER,648,136.07999999999998
1320,DOILEY BISCUIT TIN,120,327.6
1321,DOILEY STORAGE TIN,1082,2934.98
1322,DOILY THANK YOU CARD,703,286.62
1323,DOLLCRAFT BOY JEAN-PAUL ,82,373.9
1324,DOLLCRAFT GIRL AMELIE,36,178.2
1325,DOLLCRAFT GIRL AMELIE KIT,66,294.7
1326,DOLLCRAFT GIRL NICOLE,68,336.6
1327,DOLLY CABINET 2 DRAWERS ,33,412.5
1328,DOLLY CABINET 3 DRAWERS ,51,762.4499999999999
1329,DOLLY GIRL BABY GIFT SET,419,6534.049999999999
1330,DOLLY GIRL CHILDRENS BOWL,1553,1854.8500000000001
1331,DOLLY GIRL CHILDRENS CUP,1548,1880.14
1332,DOLLY GIRL CHILDRENS EGG CUP,953,1192.46
1333,DOLLY GIRL LUNCH BOX,17404,30921.64
1334,DOLLY GIRL MINI BACKPACK,713,2838.9500000000003
1335,DOLLY GIRL MINI RUCKSACK,8,33.2
1336,DOLLY GIRL WALL ART,318,1055.94
1337,DOLLY HONEYCOMB GARLAND,814,975.9
1338,DOLLY MIXTURE CHILDREN'S UMBRELLA,561,1817.63
1339,DOLPHIN WINDMILL,62,131.44000000000003
1340,DONKEY TAIL GAME ,54,189.54000000000002
1341,DOOR HANGER  MUM + DADS ROOM,1008,1192.8
1342,DOOR MAT 3 SMILEY CATS,1773,9861.69
1343,DOOR MAT AIRMAIL ,427,2988.53
1344,DOOR MAT BIRD ON THE WIRE,562,3337.8
1345,DOOR MAT BLACK FLOCK ,1220,6922.9
1346,DOOR MAT BLUE FLOCK,1,6.75
1347,DOOR MAT CAMOUFLAGE,38,152.0
1348,DOOR MAT ENGLISH ROSE ,1445,9343.43
1349,DOOR MAT FAIRY CAKE,1642,10347.72
1350,DOOR MAT FANCY FONT HOME SWEET HOME,1117,7415.39
1351,DOOR MAT FRIENDSHIP ,431,2934.31
1352,DOOR MAT GREEN PAISLEY ,253,1409.11
1353,DOOR MAT HEARTS,1654,9715.06
1354,DOOR MAT KISS MY.......,13,95.15
1355,DOOR MAT MULTICOLOUR STRIPE,1037,6270.6900000000005
1356,DOOR MAT NEIGHBOURHOOD WITCH ,79,565.89
1357,DOOR MAT NEW ENGLAND,1953,12520.95
1358,DOOR MAT RED SPOT,2426,15093.48
1359,DOOR MAT RESPECTABLE HOUSE,358,2479.86
1360,DOOR MAT SPOTTY HOME SWEET HOME,1733,10121.69
1361,DOOR MAT SWEET HOME,28,131.25
1362,DOOR MAT TOPIARY,1020,6407.06
1363,DOOR MAT UNION FLAG,3733,24216.23
1364,DOOR MAT UNION JACK GUNS AND ROSES,725,4547.29
1365,DOOR MAT WELCOME PUPPIES,1414,7835.1
1366,DOORKNOB CERAMIC IVORY,36,52.199999999999996
1367,DOORKNOB CRACKED GLAZE BLUE,162,238.49999999999997
1368,DOORKNOB CRACKED GLAZE GREEN,12,19.799999999999997
1369,DOORKNOB CRACKED GLAZE IVORY,174,258.29999999999995
1370,DOORKNOB CRACKED GLAZE PINK,12,19.799999999999997
1371,DOORMAT 3 SMILEY CATS,2290,13552.78
1372,DOORMAT AIRMAIL ,1943,11946.53
1373,DOORMAT BIRD ON THE WIRE,223,1100.15
1374,DOORMAT BLACK FLOCK ,2813,15618.36
1375,DOORMAT CHRISTMAS VILLAGE,837,4966.929999999999
1376,DOORMAT ENGLISH ROSE ,3158,20298.8
1377,DOORMAT FAIRY CAKE,4760,29116.96
1378,DOORMAT FANCY FONT HOME SWEET HOME,4825,29691.95
1379,DOORMAT FRIENDSHIP ,795,4099.43
1380,DOORMAT HEARTS,5788,35069.4
1381,DOORMAT HOME SWEET HOME BLUE ,2499,15329.57
1382,DOORMAT I LOVE LONDON,831,5136.67
1383,DOORMAT KEEP CALM AND COME IN,5338,35880.85
1384,DOORMAT KISS MY.......,22,106.58
1385,DOORMAT MERRY CHRISTMAS RED ,1004,7171.64
1386,DOORMAT MULTICOLOUR STRIPE,2273,12541.22
1387,DOORMAT NEIGHBOURHOOD WITCH ,1043,5709.31
1388,DOORMAT NEW ENGLAND,5146,31461.34
1389,DOORMAT PEACE ON EARTH BLUE,856,4621.360000000001
1390,DOORMAT RED RETROSPOT,4806,31864.2
1391,DOORMAT RED SPOT,1035,7050.21
1392,DOORMAT RESPECTABLE HOUSE,1863,11282.69
1393,DOORMAT SPOTTY HOME SWEET HOME,2671,19215.5
1394,DOORMAT TOPIARY,2048,12345.7
1395,DOORMAT UNION FLAG,6146,40053.72
1396,DOORMAT UNION JACK GUNS AND ROSES,2078,11722.24
1397,DOORMAT VINTAGE LEAF,541,3766.57
1398,DOORMAT VINTAGE LEAVES DESIGN ,426,2833.7000000000003
1399,DOORMAT WELCOME PUPPIES,3345,19178.670000000002
1400,DOORMAT WELCOME SUNRISE,718,4602.26
1401,DOORMAT WELCOME TO OUR HOME,1935,13103.81
1402,DOORSTOP FOOTBALL DESIGN,556,1675.96
1403,DOORSTOP RACING CAR DESIGN,375,888.23
1404,DOORSTOP RETROSPOT HEART,2695,10283.5
1405,DOORSTOP RUSSIAN DOLL GINGHAM,38,142.5
1406,DOORSTOP RUSSIAN DOLL RETROSPOT,100,363.48
1407,DOT MATRIX CANVAS ART PICTURE,35,147.05
1408,DOTCOM POSTAGE,16,11906.36
1409,DOTCOMGIFTSHOP TEA TOWEL,12,19.799999999999997
1410,DOTS IRONING BOARD COVER,12,23.4
1411,DOTTY PLACEMATS ,52,175.8
1412,DOUBLE CERAMIC PARLOUR HOOK,22,91.30000000000001
1413,DOUGHNUT LIP GLOSS ,9642,11615.7
1414,DOVE DECORATION PAINTED ZINC ,4442,2014.7600000000002
1415,DRAGONS BLOOD INCENSE,874,173.54
1416,DRAWER KNOB ACRYLIC EDWARDIAN CLEAR,24,30.0
1417,DRAWER KNOB ACRYLIC EDWARDIAN GREEN,24,30.0
1418,DRAWER KNOB ACRYLIC EDWARDIAN PINK,24,30.0
1419,DRAWER KNOB CERAMIC BLACK,935,1314.95
1420,DRAWER KNOB CERAMIC IVORY,2035,2863.39
1421,DRAWER KNOB CERAMIC RED,679,943.75
1422,DRAWER KNOB CRACKLE GLAZE BLUE,1079,1751.7899999999997
1423,DRAWER KNOB CRACKLE GLAZE GREEN,1272,2060.3999999999996
1424,DRAWER KNOB CRACKLE GLAZE IVORY,2076,3348.5999999999995
1425,DRAWER KNOB CRACKLE GLAZE PINK,1216,1967.9999999999998
1426,DRAWER KNOB VINTAGE GLASS BALL,317,669.61
1427,DRAWER KNOB VINTAGE GLASS HEXAGON,287,596.96
1428,DRAWER KNOB VINTAGE GLASS STAR,503,1016.97
1429,DRAWERKNOB ACRYLIC EDWARDIAN PURPLE,24,30.0
1430,DROP DIAMANTE EARRINGS BLACK DIAMON,15,44.25
1431,DROP DIAMANTE EARRINGS CRYSTAL,16,47.2
1432,DROP DIAMANTE EARRINGS GREEN,8,23.6
1433,DROP DIAMANTE EARRINGS PURPLE,31,91.45000000000002
1434,DROP EARRINGS W FLOWER & LEAF,3,7.6499999999999995
1435,DUCK SOCK PUPPET,4,11.8
1436,DUSTY PINK CHRISTMAS TREE 30CM,10,12.5
1437,DUSTY PINK CHRISTMAS TREE 60CM,10,29.500000000000004
1438,Discount,196,397.89
1439,EASTER BUNNIES ON A STICK,1536,783.96
1440,EASTER BUNNY GARLAND OF FLOWERS,1302,546.84
1441,EASTER BUNNY HANGING GARLAND,154,192.5
1442,EASTER BUNNY WITH BASKET ON BACK,204,132.6
1443,EASTER BUNNY WREATH,76,362.2
1444,EASTER CRAFT 4 CHICKS ,2994,5430.3
1445,EASTER CRAFT IVY WREATH WITH CHICK,1343,2342.85
1446,EASTER DECORATION EGG BUNNY ,1457,1255.43
1447,EASTER DECORATION HANGING BUNNY,2476,958.3000000000001
1448,EASTER DECORATION NATURAL CHICK,1781,1129.65
1449,EASTER DECORATION SITTING BUNNY,1010,817.9399999999999
1450,EASTER TIN BUCKET,1405,3355.95
1451,EASTER TIN BUNNY BOUQUET,1188,1895.3999999999999
1452,EASTER TIN CHICKS IN GARDEN,292,481.79999999999995
1453,EASTER TIN CHICKS PINK DAISY,580,956.9999999999999
1454,EASTER TIN KEEPSAKE,1086,1727.1
1455,EASTER TREE YELLOW BIRDS,423,2192.25
1456,EAU DE NIL DINER WALL CLOCK,244,2033.2
1457,EAU DE NIL LOVE BIRD CANDLE,397,429.97
1458,EAU DE NILE HEART SHAPE PHOTO FRAME,525,837.4499999999999
1459,EAU DE NILE JEWELLED PHOTOFRAME,510,1010.6999999999999
1460,EAU DE NILE JEWELLED T-LIGHT HOLDER,161,136.85
1461,ECONOMY HOLIDAY PURSE,871,340.65000000000003
1462,ECONOMY LUGGAGE TAG,287,380.81
1463,ECONOMY PASSPORT COVER ,199,417.90000000000003
1464,EDWARDIAN 2 DRAWER WALL CABINET ,52,755.8
1465,EDWARDIAN DROP EARRINGS JET BLACK,8,30.0
1466,EDWARDIAN HEART PHOTO FRAME,147,610.0500000000001
1467,EDWARDIAN PARASOL BLACK,9351,45885.07
1468,EDWARDIAN PARASOL NATURAL,10948,54332.61
1469,EDWARDIAN PARASOL PINK,2436,11872.810000000001
1470,EDWARDIAN PARASOL RED,6029,28557.920000000002
1471,EDWARDIAN PHOTO FRAME,87,543.75
1472,EDWARDIAN TOILET ROLL UNIT ,161,838.35
1473,EGG CUP HENRIETTA HEN CREAM ,580,664.52
1474,EGG CUP HENRIETTA HEN PINK,187,233.75
1475,EGG CUP MILKMAID HEIDI,784,919.52
1476,EGG CUP MILKMAID HELGA ,348,435.0
1477,EGG CUP MILKMAID INGRID,587,703.51
1478,EGG CUP NATURAL CHICKEN,1400,1194.64
1479,EGG FRYING PAN BLUE ,150,312.0
1480,EGG FRYING PAN IVORY ,358,722.5600000000001
1481,EGG FRYING PAN MINT ,169,351.52000000000004
1482,EGG FRYING PAN PINK ,199,415.97
1483,EGG FRYING PAN RED ,405,820.32
1484,EIGHT PIECE CREEPY CRAWLIE SET,810,1007.94
1485,EIGHT PIECE DINOSAUR SET,1691,2072.71
1486,EIGHT PIECE SNAKE  SET,1060,1283.96
1487,ELEPHANT BIRTHDAY CARD ,1080,449.88
1488,ELEPHANT CARNIVAL POUFFE,130,1837.8999999999999
1489,ELEPHANT CLIP W SUCTION CUP,34,14.28
1490,ELEPHANT TOY WITH BLUE T-SHIRT,160,595.68
1491,"ELEPHANT, BIRTHDAY CARD, ",6890,2782.92
1492,ELVIS WALLHANGING / CURTAIN,297,371.25
1493,EMBOSSED FLOWER TRELLIS PHOTO FRAME,5,12.75
1494,EMBOSSED GLASS TEALIGHT HOLDER,4259,5162.34
1495,EMBOSSED HEART 3 DRAWER SHELF,159,2012.85
1496,EMBOSSED HEART TRINKET BOX,221,444.02000000000004
1497,EMBROIDERED REINDEER DECORATION,18,28.0
1498,EMBROIDERED RIBBON REEL CLAIRE,219,755.01
1499,EMBROIDERED RIBBON REEL DAISY ,558,1075.3799999999999
1500,EMBROIDERED RIBBON REEL EMILY ,524,1046.42
